pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
48,2,cpuhp/5,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
49,2,idle_inject/5,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
50,2,migration/5,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
51,2,ksoftirqd/5,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
52,2,kworker/5:0-i915-unordered,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
53,2,kworker/5:0H-i915_cleanup,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
54,2,cpuhp/6,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
55,2,idle_inject/6,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
56,2,migration/6,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
57,2,ksoftirqd/6,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
59,2,kworker/6:0H-kblockd,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
60,2,cpuhp/7,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
61,2,idle_inject/7,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
62,2,migration/7,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
63,2,ksoftirqd/7,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
65,2,kworker/7:0H-acpi_thermal_pm,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
66,2,kdevtmpfs,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
67,2,kworker/R-inet_frag_wq,,root,idle,1780306705.12,0.0,0,1,-1,0,0,0,linux,
68,2,rcu_tasks_kthread,,root,idle,1780306705.12,0.0,0,1,-1,0,0,0,linux,
69,2,rcu_tasks_rude_kthread,,root,idle,1780306705.12,0.0,0,1,-1,0,0,0,linux,
70,2,kauditd,,root,sleeping,1780306705.12,0.0,0,1,-1,0,0,0,linux,
